shortcode,Ranking,,Economy,US dollars,
USA,1,,United States,16244600.00,
CHN,2,,China,8227103.00,
JPN,3,,Japan,5959718.00,
DEU,4,,Germany,3428131.00,
FRA,5,,France,2612878.00,
GBR,6,,United Kingdom,2471784.00,
BRA,7,,Brazil,2252664.00,
RUS,8,,Russian Federation,2014775.00,
ITA,9,,Italy,2014670.00,
IND,10,,India,1841710.00,
CAN,11,,Canada,1821424.00,
AUS,12,,Australia,1532408.00,
ESP,13,,Spain,1322965.00,
MEX,14,,Mexico,1178126.00,
KOR,15,,"Korea, Rep.",1129598.00,
IDN,16,,Indonesia,878043.00,
TUR,17,,Turkey,789257.00,
NLD,18,,Netherlands,770555.00,
SAU,19,,Saudi Arabia,711050.00,
CHE,20,,Switzerland,631173.00,
SWE,21,,Sweden,523806.00,
IRN,22,,"Iran, Islamic Rep.",514060.00,
NOR,23,,Norway,499667.00,
POL,24,,Poland,489795.00,
BEL,25,,Belgium,483262.00,
ARG,26,,Argentina,475502.00,
AUT,27,,Austria,394708.00,
ZAF,28,,South Africa,384313.00,
VEN,29,,"Venezuela, RB",381286.00,
COL,30,,Colombia,369606.00,
THA,31,,Thailand,365966.00,
ARE,32,,United Arab Emirates,348595.00,
DNK,33,,Denmark,314887.00,
MYS,34,,Malaysia,305033.00,
SGP,35,,Singapore,274701.00,
CHL,36,,Chile,269869.00,
HKG,37,,"Hong Kong SAR, China",263259.00,
EGY,38,,"Egypt, Arab Rep.",262832.00,
NGA,39,,Nigeria,262597.00,
ISR,40,,Israel,258217.00,
PHL,41,,Philippines,250182.00,
GRC,42,,Greece,249099.00,
FIN,43,,Finland,247546.00,
PAK,44,,Pakistan,225143.00,
PRT,45,,Portugal,212274.00,
IRL,46,,Ireland,210771.00,
IRQ,47,,Iraq,210280.00,
DZA,48,,Algeria,205789.00,
PER,49,,Peru,203790.00,
KAZ,50,,Kazakhstan,203521.00,
CZE,51,,Czech Republic,196446.00,
ROM,52,,Romania,192711.00,
UKR,53,,Ukraine,176309.00,
QAT,54,,Qatar,171476.00,
NZL,55,,New Zealand,167347.00,
KWT,56,,Kuwait,160913.00,
VNM,57,,Vietnam,155820.00,
HUN,58,,Hungary,124600.00,
BGD,59,,Bangladesh,116355.00,
AGO,60,,Angola,114147.00,
PRI,61,,Puerto Rico,101496.00,
MAR,62,,Morocco,95982.00,a
SVK,63,,Slovak Republic,91149.00,
ECU,64,,Ecuador,84040.00,
SYR,65,,Syrian Arab Republic,73672.00,
OMN,66,,Oman,69972.00,
CUB,67,,Cuba,68234.00,
AZE,68,,Azerbaijan,66605.00,
BLR,69,,Belarus,63267.00,
LKA,70,,Sri Lanka,59423.00,
HRV,71,,Croatia,59228.00,
DOM,72,,Dominican Republic,59047.00,
SDN,73,,Sudan,58769.00,b
LUX,74,,Luxembourg,55178.00,
UZB,75,,Uzbekistan,51113.00,
BGR,76,,Bulgaria,50972.00,
GTM,77,,Guatemala,50234.00,
URY,78,,Uruguay,49920.00,
TUN,79,,Tunisia,45662.00,
SVN,80,,Slovenia,45279.00,
CRI,81,,Costa Rica,45104.00,
MAC,82,,"Macao SAR, China",43582.00,
LBN,83,,Lebanon,42945.00,
LTU,84,,Lithuania,42344.00,
ETH,85,,Ethiopia,41605.00,
GHA,86,,Ghana,40711.00,
KEN,87,,Kenya,40697.00,
SRB,88,,Serbia,37489.00,
PAN,89,,Panama,36253.00,
YEM,90,,"Yemen, Rep.",35646.00,
TKM,91,,Turkmenistan,35164.00,
JOR,92,,Jordan,31015.00,
BHR,93,,Bahrain,29044.00,
LVA,94,,Latvia,28373.00,
TZA,95,,Tanzania,28242.00,c
BOL,96,,Bolivia,27035.00,
PRY,97,,Paraguay,25502.00,
CMR,98,,Cameroon,25322.00,
CIV,99,,C�te d'Ivoire,24680.00,
SLV,100,,El Salvador,23864.00,
TTO,101,,Trinidad and Tobago,23320.00,
CYP,102,,Cyprus,22767.00,d
EST,103,,Estonia,22390.00,
ZMB,104,,Zambia,20678.00,
AFG,105,,Afghanistan,20497.00,
UGA,106,,Uganda,19881.00,
NPL,107,,Nepal,18963.00,
HND,108,,Honduras,18434.00,
GAB,109,,Gabon,18377.00,
GNQ,110,,Equatorial Guinea,17697.00,
BIH,111,,Bosnia and Herzegovina,17466.00,
ZAR,112,,"Congo, Dem. Rep.",17204.00,
BRN,113,,Brunei Darussalam,16954.00,
GEO,114,,Georgia,15747.00,e
PNG,115,,Papua New Guinea,15654.00,
JAM,116,,Jamaica,14755.00,
BWA,117,,Botswana,14504.00,
MOZ,118,,Mozambique,14244.00,
SEN,119,,Senegal,14046.00,
KHM,120,,Cambodia,14038.00,
COG,121,,"Congo, Rep.",13678.00,
ISL,122,,Iceland,13579.00,
NAM,123,,Namibia,13072.00,
TCD,124,,Chad,12887.00,
ALB,125,,Albania,12648.00,
NIC,126,,Nicaragua,10507.00,
MUS,127,,Mauritius,10486.00,
BFA,128,,Burkina Faso,10441.00,
MLI,129,,Mali,10308.00,
MNG,130,,Mongolia,10271.00,
SSD,131,,South Sudan,10220.00,
MDG,132,,Madagascar,9975.00,
ARM,133,,Armenia,9951.00,
ZWE,134,,Zimbabwe,9802.00,
MKD,135,,"Macedonia, FYR",9613.00,
LAO,136,,Lao PDR,9418.00,
MLT,137,,Malta,8722.00,
BHS,138,,"Bahamas, The",8149.00,
HTI,139,,Haiti,7843.00,
BEN,140,,Benin,7557.00,
MDA,141,,Moldova,7253.00,f
RWA,142,,Rwanda,7103.00,
TJK,143,,Tajikistan,6972.00,
NER,144,,Niger,6773.00,
KGZ,145,,Kyrgyz Republic,6475.00,
KSV,146,,Kosovo,6445.00,
MCO,147,,Monaco,6075.00,
GIN,148,,Guinea,5632.00,
BMU,149,,Bermuda,5474.00,
SUR,150,,Suriname,5012.00,
MNE,151,,Montenegro,4373.00,
MWI,152,,Malawi,4264.00,
BRB,153,,Barbados,4225.00,
MRT,154,,Mauritania,4199.00,
FJI,155,,Fiji,3908.00,
TGO,156,,Togo,3814.00,
SLE,157,,Sierra Leone,3796.00,
SWZ,158,,Swaziland,3744.00,
ERI,159,,Eritrea,3092.00,
GUY,160,,Guyana,2851.00,
ABW,161,,Aruba,2584.00,
BDI,162,,Burundi,2472.00,
